https://sourceforge.net/projects/joesnmp/,joeSNMP,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://net-snmp.sourceforge.io/docs/man/snmptable.html,snmptable,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://net-snmp.sourceforge.io/docs/man/mib2c-update.html,mib2c-update,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://net-snmp.sourceforge.io/docs/man/snmpdelta.html,snmpdelta,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.ibr.cs.tu-bs.de/projects/libsmi/smiquery.html,smiquery,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://sourceforge.net/projects/opensnmp/,openSNMP,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.ibr.cs.tu-bs.de/projects/libsmi/smistrip.html,smistrip,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://net-snmp.sourceforge.io/docs/man/snmpstatus.html,snmpstatus,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://net-snmp.sourceforge.io/docs/man/snmpnetstat.html,snmpnetstat,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://oid-info.com,oid-info.com,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.snmplink.org,snmplink.org/OnLineMIB,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.snmplink.org/OnLineMIB/Standards/,OnLineMIB/Standards,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.snmplink.org/OnLineMIB/Cisco/,OnLineMIB/Cisco,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.snmplink.org/OnLineMIB/Juniper/,OnLineMIB/Juniper,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.snmplink.org/OnLineMIB/Extreme/,OnLineMIB/Extreme,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.snmplink.org/OnLineMIB/Brocade/,OnLineMIB/Brocade,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.erlang.org/doc/apps/snmp/users_guide.html,Erlang/OTP SNMP,https://github.com/eozer/awesome-snmp#readme,SNMP error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://snmplink.org/,SNMPLink.org,https://github.com/eozer/awesome-snmp#readme,SNMP error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
