http://selendroid.io/inspector.html,Selendroid Inspector,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 525: '<none>'> | reason: <none>
https://appiumpro.com/editions/56,What Appium Users Need to Know about Android Activities and Intents,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.testingdiaries.com/appium-tutorial/,Testing Diaries,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
http://testingalert.com/automate-android-actions-using-appium/,Automate Android Actions using Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://bitbar.com/tag/appium/,http://bitbar.com/tag/appium/,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: TimeoutError('timed out') | reason: 
http://graphwalker.github.io/appium-example/,GraphWalker,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://bitbar.com/mobile-game-testing-part-2-ui-and-functionality-image-recognition/,Appium + Mobile Game Testing,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: TimeoutError('timed out') | reason: 
http://bitbar.com/appium-tip-27-using-appium-for-mobile-game-testing/,IMAGE RECOGNITION WITH APPIUM,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: TimeoutError('timed out') | reason: 
https://sourcediving.com/how-to-uncover-invisible-changes-in-automated-tests-b6a5dbff564e,Uncover invisible changes in automated tests,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/application-development/appium-essentials/?utm_source=POD&utm_medium=referral&utm_campaign=1784392480,Appium Essentials,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://caps.cloudgrey.io/,All about Appium Desired Capabilities,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://www.zaizi.com/blog/appium-mobile-apps-automation-tool,Appium Architecture & Appium Desktop,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 404: 'Not Found'> | reason: Not Found
