https://blogs.microsoft.com/blog/2023/02/07/reinventing-search-with-a-new-ai-powered-microsoft-bing-and-edge-your-copilot-for-the-web/,Bing Search,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://play.ht/,Play.ht,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: <HTTPError 530: '<none>'> | reason: <none>
https://poe.com/,Poe,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://podcast.ai/,podcast.ai,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.rephrase.ai/,Rephrase AI,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: URLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)')) | reason: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)
https://phind.com/,Phind,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://vallex-demo.github.io/,VALL-E X,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.craiyon.com/,Craiyon,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://opt.alpa.ai/,OPT-175B text generation,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://synthical.com,Synthical,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: TimeoutError('The read operation timed out') | reason: 
https://www.modyfi.io/,modyfi,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.ponzu.ai/,Ponzu,https://github.com/steven2358/awesome-generative-ai#readme,Generative AI error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
