https://www.frost.com/,Frost & Sullivan,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://cypressdatadefense.com/reports/2025-state-of-application-security,Cypress Data Defense,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.csis.org/programs/technology-policy-program,Center for Strategic and International Studies (CSIS) - Technology Policy Program,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.kisa.or.kr/eng/,Korean Internet & Security Agency (KISA),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 400: '400'> | reason: 400
https://torq.io/resources/ai-soc-leadership-report-2026/,Torq,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://omdia.tech.informa.com/,Omdia,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.trustwave.com/en-us/company/newsroom/news/trustwave-unveils-2025-cybersecurity-threat-report-for-energy-and-utilities-sector-highlights-surge-in-ransomware-attacks/,Trustwave,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bridewell.com/insights/white-papers/detail/cyber-threat-intelligence-report-2024,Bridewell,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.armis.com,Armis,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cisco.com/c/en/us/about/trust-center/data-privacy-benchmark-study.html,Cisco,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://umbrella.cisco.com/info/cyber-threat-trends-report,Cisco,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://ordr.net/cybersecurity-statistics,ORDR,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://hostingjournalist.com/knowledgebase/the-state-of-aws-security-2026-from-iam-to-agentic-ai,Toc Consulting,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.guidepointsecurity.com/resources/the-state-of-iam_maturity_2025/,Guidepoint,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.nccgroup.com/resource-hub/cyber-threat-intelligence-reports/,NCC Group,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.bridewell.com/us/insights/white-papers/detail/operational-technology-cybersecurity-services,Bridewell,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.fox-it.com/nl-en/the-hidden-opponent-cyber-threats-in-sport/,NCC Group,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.group-ib.com/media-center/press-releases/africa-cybercrime-threat-assessment-report-2025/,Interpol,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.checkpoint.com/resources/items/report-cloud-security-report-2025,Checkpoint,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.ncsc.govt.nz/insights-and-research/cyber-threat-reports/cyber-threat-report-2025/,National Cyber Security Centre,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.akamai.com/lp/soti/app-api-ai-security-report-2025,Akamai,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://securityscorecard.com/resource/global-third-party-breach-report/,Security Score Card,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://trustedcomputinggroup.org/,Trusted Computing Group (TCG),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://omadaidentity.com/resources/analyst-reports/state-of-iga/,Omada,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.ncsc.nl/english,National Cyber Security Centre - Netherlands (NCSC-NL),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.linkedin.com/in/rickhoward/,Rick Howard,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.greynoise.com,GreyNoise,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://www.immuta.com/resources/2025-state-of-data-security-report/,Immuta,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.dni.gov/index.php/newsroom/reports-publications/reports-publications-2026/4141-2026-annual-threat-assessment,Office of the Director of National Intelligence,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://securityscorecard.com/resources/research-reports/,Security Scorecard,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cscdbs.com/en/resources-news/2025-ciso-cybersecurity-outlook-report/,CSC,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cyentia.com/press/,Cyentia,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.weforum.org/centre-for-cybersecurity,World Economic Forum (Centre for Cybersecurity),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sixmap.io/blog/lightbulb-moment-an-exposure-assessment-of-the-u-s-energy-sector/,Six Map,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medium.com/@robotti-io/q1-check-in-our-2026-robotti-appsec-report-is-tracking-in-the-right-direction-e68e362e64d7,Robotti,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.trustwave.com/en-us/resources/library/documents/2025-trustwave-spiderlabs-research-navigating-cybersecurity-threats-in-manufacturing-complimentary-reports,Trustwave,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://slcyber.io/whitepapers-reports/the-correlation-between-dark-web-exposure-and-cybersecurity-risk/,Search Light Cyber,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.beyondtrust.com/resources/whitepapers/microsoft-vulnerability-report,Beyond Trust,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cyberthreatalliance.org/,The Cyber Threat Alliance (CTA),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.cyberark.com/state-of-machine-identity-security-report/,CyberArk,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 520: ''> | reason: 
https://ferma.eu/wp-content/uploads/2025/10/Demystifying-Cyber-Insurance-todays-trends-tomorrows-challenges.pdf,FERMA,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 426: ''> | reason: 
https://www.forescout.com/research-labs/the-riskiest-devices-of-2025/,Forescout,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.securitysystemsnews.com/article/sia-announces-the-2025-security-megatrends,Security Industry Association,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.microsoft.com/en-us/corporate-responsibility/cybersecurity/microsoft-digital-defense-report-2025/,Microsoft,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.akamai.com/blog/security/year-review-2025-ai-apis-audacity,Akamai,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.armis.com/research/early-warning-insights-for-software-supply-chain-attacks/,Armis,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mile2.com/2026-global-cyberthreat-report/,Mile2,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.forescout.com/press-releases/forescout-2025h1-threat-review-highlights-surge-in-zero-day-exploits-nation-backed-hacktivism-and-healthcare-vulnerabilities/,Forescout,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.akamai.com/lp/soti/ransomware-trends-2025,Akamai,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mimecast.com/resources/ebooks/threat-intelligence-january-june-2025/,Mimecast,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.reliaquest.com/resources/research-reports/annual-threat-report-2025/,Relia Quest,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.humansecurity.com,HumanSecurity,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.orangecyberdefense.com/global/security-navigator,Orange Cyber Defense,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sophos.com/en-us/content/state-of-ransomware,Sophos,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://www.sophos.com/en-us/blog/the-sophos-annual-threat-report-cybercrime-on-main-street-2025,Sophos,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/tech-forward/state-of-ai-trust-in-2026-shifting-to-the-agentic-era,McKinsey,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://www.cyber.gov.au/,Australian Cyber Security Centre (ACSC),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://public.cyber.mil/devsecops/,United States Department of Defense,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://menlovc.com/perspective/2025-the-state-of-generative-ai-in-the-enterprise/,Anthropic,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.silentpush.com/white-papers-and-reports/threat-actor-study/,SilentPush,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.guidepointsecurity.com/resources/grit-2026-ransomware-and-cyber-threat-report/,Guidepoint,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.veracode.com/resources/analyst-reports/state-of-software-security-2026/,Veracode,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://www.mimecast.com/resources/ebooks/state-of-human-risk-2025/,Mimecast,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sophos.com/en-us/resources/white-papers/state-of-ransomware-in-healthcare,Sophos,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://commercial.allianz.com/news-and-insights/news/directors-and-officers-insurance-insights-2026.html,Allianz,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cyentia.com/iris2025/,Cyentia,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://commercial.allianz.com/content/dam/onemarketing/commercial/commercial/reports/allianz-risk-barometer-2026.pdf,Allianz,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://censys.com/reports/2025-sotir,Censys,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.synack.com,Synack,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ir.crowdstrike.com/news-releases/news-release-details/2026-crowdstrike-global-threat-report-ai-accelerates-adversaries,Crowd Strike,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://business.comcast.com/about-us/press-releases/2025/cb-releases-2025-cybersecurity-threat-report,Comcast,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://www.europol.europa.eu/activities-services-main/areas-interest/european-cybercrime-centre-ec3,Europol - European Cybercrime Centre (EC3),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.hornetsecurity.com/us/cyber-security-report/,Hornet,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bsi.bund.de/,German Federal Office for Information Security (BSI),https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.sophos.com/en-us/press/press-releases/sophos-active-adversary-report-2026-identity-attacks-dominate-as-threat-groups-proliferate,Sophos,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://www.sophos.com/en-us/resources/white-papers/state-of-ransomware-in-manufacturing-and-production,Sophos,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://cpl.thalesgroup.com/data-threat-report,Thales,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.trellix.com/platform/threat-intelligence/,Trelllix,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
https://blogs.cisco.com/ai/cisco-state-of-ai-security-2026-report,Cisco,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://www.asd.gov.au/news/2025-10-14-australian-signals-directorate-releases-annual-cyber-threat-report-2024-25,Australian Signals Directorate,https://github.com/jacobdjwilson/awesome-annual-security-reports#readme,Annual Security Reports error: TimeoutError('The read operation timed out') | reason: 
