http://html5gamedevelopment.com/,Info, news and tutorials,https://github.com/diegocard/awesome-html5#readme,HTML5 error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://www.w3.org/TR/2014/WD-resource-hints-20141021/,Resource hints draft (preconnect and preload),https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medium.com/@luisvieira_gmr/html5-prefetch-1e54f6dda15d,Prefetching and prerendeding,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.carbonfive.com/2014/10/16/webrtc-made-simple/,WebRTC made simple,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blog.teamtreehouse.com/use-html5-sectioning-elements,How to Use The HTML5 Sectioning Elements,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://hacks.mozilla.org/category/mozilla-hacks-weekly/,Mozilla Hacks Weekly Articles,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.w3.org/2012/webcrypto/webcrypto-next-workshop/report.html,Cryptography next steps from W3C,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.teamtreehouse.com/use-details-summary-elements,How to Use the Details and Summary Elements,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://hacks.mozilla.org/2018/11/the-power-of-web-components/,The power of web components,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.w3.org/WAI/ER/tools/,Web Accessibility Evaluation Tools List from W3,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.mozilla.org/blog/2018/09/18/firefox-reality-now-available/,Firefox Reality now available,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.paciellogroup.com/blog/2014/10/aria-in-html-there-goes-the-neighborhood/,Aria in HTML,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://2017.ind.ie/blog/accessible-video-player/,Accessible and Responsive HTML5 Video Player,https://github.com/diegocard/awesome-html5#readme,HTML5 error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.w3.org/TR/2014/WD-webvtt1-20141113/,First draft from W3C,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://hacks.mozilla.org/2013/09/getting-started-with-html5-game-development/,Getting started with HTML5 Game Development from Mozilla Hacks,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://hacks.mozilla.org/2016/02/html-5-game-development-video-series/,HTML 5 game development video series by Mozilla,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.w3.org/TR/resource-timing/,Resource timing spec,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://hacks.mozilla.org/2015/07/how-fast-are-web-workers/,How fast are web workers?,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.backalleycoder.com/2016/08/26/demythstifying-web-components/,Demythstifying Web Components,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.w3.org/TR/file-system-api/,File system API,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/html5-diff/,Differences between HTML5 and HTML4 from W3C,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.mozilla.org/en-US/docs/Archive/Add-ons/Overlay_Extensions/XUL_School/Local_Storage,Local storage tutorial,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 404: 'Not Found'> | reason: Not Found
