https://medium.com/@MartinCracauer/a-gentle-introduction-to-compile-time-computing-part-3-scientific-units-8e41d8a727ca,Part 3 (Safely dealing with scientific units of variables at compile time),https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/abs/10.1145/141478.141560,paper,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://incudine.sourceforge.net/,Incudine,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.clisp.org/,GNU CLISP,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: TimeoutError('timed out') | reason: 
https://directory.fsf.org/wiki/License:Boost1.0,Boost 1.0,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://www.gnu.org/software/clisp/impnotes.html,Standard conformance,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki?title=License:FreeBSD,FreeBSD,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:Zlib,zlib,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html,LGPL2.1,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:AGPL-3.0,AGPL-3.0+,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://cliki.net/S-XML,s-xml,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://pslib.sourceforge.net/,pslib,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:Expat,Expat,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
http://www.cliki.net/CLSQL,clsql,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
