https://sourceforge.net/projects/honeyperl/,Honeyperl,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://bitbucket.org/zaccone/quechua,Quechua,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://afterglow.sourceforge.net/,Afterglow,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://artemisa.sourceforge.net,Artemnesia VoIP,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/honeystats/,HoneyStats,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.openhub.net/p/mwcollectd,mwcollectd,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://scadahoneynet.sourceforge.net,SCADA honeynet,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://projects.honeynet.org/capture-hpc,Capture-HPC,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 523: '<none>'> | reason: <none>
http://honeybrid.sourceforge.net,HoneyBrid,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.honeynet.org/node/315,Capture BAT,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.secviz.org/node/89,DAVIX,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://projects.honeynet.org/honeyc,HoneyC,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: <HTTPError 523: '<none>'> | reason: <none>
https://cuckoosandbox.org/,Cuckoo,https://github.com/paralax/awesome-honeypots#readme,Honeypots error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
