https://www.sciencedirect.com/science/article/pii/S1389041718308970,Human actions recognition in video scenes from multiple camera viewpoints,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.pavel.cool/h2o-3/h2o-mojo-import/,Importing, Inspecting and Scoring with MOJO models inside H2O,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://towardsdatascience.com/artificial-intelligence-made-easy-187ecb90c299,Artificial Intelligence Made Easy with H2O.ai: A Comprehensive Guide to Modeling with H2O.ai and AutoML in Python,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://embc.embs.org/2021/,Depression Level Prediction in People with Parkinson’s Disease during the COVID-19 Pandemic,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://onlinelibrary.wiley.com/doi/full/10.1002/hbm.25565,Maturity of gray matter structures and white matter connectomes, and their relationship with psychiatric symptoms in youth,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.michal-kapusta.com/post/2018-11-02-predicting-residential-property-prices-in-bratislava-using-recipes-h2o-machine-learning-part-ii/,Predicting residential property prices in Bratislava using recipes - H2O Machine learning,https://github.com/h2oai/awesome-h2o#readme,H2O error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www2.packtpub.com/big-data-and-business-intelligence/hands-time-series-analysis-r,Hands on Time Series with R,https://github.com/h2oai/awesome-h2o#readme,H2O error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.packtpub.com/product/mastering-machine-learning-with-spark-2-x/9781785283451,Mastering Machine Learning with Spark 2.x,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/citation.cfm?id=3124407,Generic online animal activity recognition on collar tags,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.tandfonline.com/doi/abs/10.1080/21680566.2017.1291377?journalCode=ttrb20,Inferring passenger types from commuter eigentravel matrices,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.sciencedirect.com/science/article/pii/S0377221716308657,Deep neural networks, gradient-boosted trees, random forests: Statistical arbitrage on the S&P 500,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://doi.org/10.1101/070490,Deep learning and association rule mining for predicting drug response in cancer,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.rsm.nl/fileadmin/Images_NEW/ECFEB/The_value_of_points_of_interest_information.pdf,The value of points of interest information in predicting cost-effective charging infrastructure locations,https://github.com/h2oai/awesome-h2o#readme,H2O error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://speakerdeck.com/szilard/machine-learning-with-h2o-dot-ai-la-h2o-meetup-at-at-and-t-jan-2017,Machine learning with H2O.ai,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.ub.uio.no/english/courses-events/events/all-libraries/2019/research-bazaar-2019.html,University of Oslo: Introduction to Automatic and Scalable Machine Learning with H2O and R,https://github.com/h2oai/awesome-h2o#readme,H2O error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.coursera.org/learn/competitive-data-science,Coursera: How to Win a Data Science Competition: Learn from Top Kagglers,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
