http://sourceforge.net/projects/lkjson,JSON delphi library,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/delphiasiovst,Delphi ASIO & VST Project,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/asphyre,Asphyre aka Platform eXtended Library (PXL),https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/volgadb,VolgaDB,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/allegro-pas,Allegro-Pas,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/tpipro2010,Internet Professional,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.delphiforfun.org/programs/library/Default.htm,DFF Library,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 301: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nMoved Permanently'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently
https://sourceforge.net/projects/lmath-library,LMath,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/tponguard,OnGuard,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/audorra,Audorra,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/blaise,Blaise,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.axolot.com/axwribbon.htm,AXW Ribbon,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://sourceforge.net/projects/synedit,SynEdit,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/gexperts,GExperts,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/libxml2-pas,Libxml2 for pascal,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://chapmanworld.com/2017/03/22/formresource-a-free-delphi-component-for-organizing-product-dependencies,FormResource,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://sourceforge.net/projects/indysoap,IndySoap,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://reportman.sourceforge.net,Report Manager,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://blog.synopse.info/post/2014/05/07/MongoDB-database-access,docs,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://sourceforge.net/projects/atviewer,ATViewer,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://osdn.net/projects/dzbdslauncher/,dzBdsLauncher,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://sourceforge.net/projects/delphi-templeng,Delphi Template Engine,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/atviewer/files/ATImageMap,ATImageMap,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/tiny-json,TinyJSON,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/p/tdbf/code/HEAD/tree,tDBF,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sciter.com,Sciter,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://synopse.info/files/html/api-1.18/mORMotReport.html,docs,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://tracetool.sourceforge.net/,TraceTool,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://dunit.sourceforge.net,DUnit,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://dunit2.sourceforge.net,DUnit2,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://synopse.info/fossil/wiki?name=SynProject,docs,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://sourceforge.net/projects/pasdoc,PasDoc,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/pascalscada,PascalSCADA,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/dxgettext/,GNU Gettext for Delphi, C++ and Kylix,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/acbr/,ACBr (Commercial Automation Brazil),https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/jedi-sdl,JEDI-SDL,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/igdiplus,IGDI+,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.qdac.cc/QDAC3,www.qdac.cc/QDAC3,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://sourceforge.net/projects/glscene,GLScene,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/larryhengensopf,hcOPF,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/andorra,Andorra 2D,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://tensorflow.org,TensorFlow,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nFound'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found
http://sourceforge.net/p/tpabbrevia,Abbrevia,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
