https://medium.com/eosio/announcing-elemental-battles-block-ones-3215a8e2cdee,Announcing Elemental Battles: Block.one's New Tutorial for On-boarding Aspiring Blockchain Developers,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://testnet.eos.io/,The EOSIO Testnet,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://eos.io/news/eosio-software-release-native-sdks-for-swift-and-java/,EOSIO™ Software Release: Native SDKs for Swift and Java,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.udemy.com/course/learn-eos-blockchain-smart-contracts-dapps-with-c-eosjs/,Learn EOS Blockchain Smart Contracts & DApps with C++, EOSJS,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.eostransit.com/,Transit API for EOS,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://medium.com/eos-new-york/the-transit-api-connecting-dapps-signature-providers-5d816c056f7f,The Transit API: Connecting dApps & Signature Providers,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://eosvenezuela.io/esc.html,ESC - EOS Study Center,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 525: '<none>'> | reason: <none>
https://learneos.dev/,Learn EOS Development,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cryptokylin.io/,CryptoKylin Testnet,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://academy.b9lab.com/courses/course-v1:B9lab+EOSIO-FREE+2018-09/about,Introduction to EOSIO for Developers,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://developers.eos.io/eosio-cleos/docs,cleos,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 530: '<none>'> | reason: <none>
https://wax-testnet.eosio.online/,Wax Testnet,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)
https://medium.com/@theblockstalk/the-eosio-blockchain-developer-workshop-now-available-on-youtube-ddeba54f0d94,EOSIO Blockchain Developer Workshop,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://get-scatter.com/,Scatter,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: TimeoutError('The read operation timed out') | reason: 
https://www.eosx.io/,EOSX,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: TimeoutError('The read operation timed out') | reason: 
https://bdata.one/,bdata.one,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://allthingseos.com,All Things EOS,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
