http://commacoloring.herokuapp.com/,Comma Coloring,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://homes.cs.washington.edu/~shanqi/work/spvdeconv/,Spatially variant non-blind deconvolution,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://cvlab-dresden.de/courses/CV2/,Computer Vision 2,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://cns.bu.edu/~lgrady/software.html,Random Walker,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.eng.tau.ac.il/~simonk/CSH/,Coherency Sensitive Hashing,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError('no host given') | reason: no host given
http://www.ivpe.com/freak.htm,FREAK,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://home.isr.uc.pt/~henriques/circulant/,Kernelized Correlation Filters,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://labelme.csail.mit.edu/Release3.0/,LabelME,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
http://www.ics.uci.edu/~dramanan/software/sparse/,Histograms of Sparse Codes for Object Detection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://cg.postech.ac.kr/research/deconv_outliers/,Handling Outliers in Non-blind Image Deconvolution,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cse.buffalo.edu/~jcorso/r/supervoxels/,Streaming hierarchical video segmentation,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.vision.caltech.edu/visipedia/CUB-200.html,Caltech-UCSD Birds 200,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.di.ens.fr/pmvs/,Patch-based Multi-view Stereo V2,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.tc.umn.edu/~baixx015/,Geodesic Segmentation,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://docs.opencv.org/trunk/doc/tutorials/calib3d/camera_calibration/camera_calibration.html,Camera calibration With OpenCV,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.technologyreview.com/video/426265/meet-2011-tr35-winner-noah-snavely/,The Distributed Camera,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cv-foundation.org/openaccess/menu.py,Computer Vision Foundation open access,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://iris.usc.edu/Vision-Notes/bibliography/contents.html,Annotated Computer Vision Bibliography,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.di.ens.fr/cmvs/,Clustering Views for Multi-view Stereo,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://iris.usc.edu/Information/Iris-Conferences.html,Calendar of Computer Image Analysis, Computer Vision Conferences,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.alphamatting.com/,Alpha Matting Evaluation,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://data.vision.ee.ethz.ch/cvl/aess/dataset/,ETHZ Pedestrian Detection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://yima.csl.illinois.edu/psfile/bogus.pdf,Warning Signs of Bogus Progress in Research in an Age of Rich Computation and Information,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.engineering.upm.ro/master-ie/sacpi/mat_did/info068/docum/Neural%20Networks%20for%20Pattern%20Recognition.pdf,Neural Networks for Pattern Recognition,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://optimization.mit.edu/classes.php,Optimization at MIT,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://pgm.stanford.edu/,Probabilistic Graphical Models: Principles and Techniques,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.di.ens.fr/~laptev/actions/hollywood2/,HOLLYWOOD2 Dataset,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://webdav.is.mpg.de/pixel/neural_deconvolution/,Neural Deconvolution,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.nowpublishers.com/CGV,Foundations and Trends® in Computer Graphics and Vision,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.wisdom.weizmann.ac.il/~vision/BlindDeblur.html,Blind Deblurring Using Internal Patch Recurrence,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://cs-people.bu.edu/jmzhang/MEEM/MEEM.html,Multiple Experts using Entropy Minimization,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://crcv.ucf.edu/data/UCF_Sports_Action.php,UCF Sports Action Data Set,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.openslam.org/,openSLAM,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://nikola-rt.ee.washington.edu/people/bulyko/papers/em.pdf,A Gentle Tutorial of the EM Algorithm,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://powerwatershed.sourceforge.net/,Power Watershed,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.di.ens.fr/willow/research/deblurring/,Non-uniform Deblurring for Shaken Images,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://nlp.cs.illinois.edu/HockenmaierGroup/Framing_Image_Description/KCCA.html,Flickr 8K,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.vision.huji.ac.il/SpectralMatting/,Spectral Matting,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.gris.informatik.tu-darmstadt.de/projects/floating-scale-surface-recon/,Floating Scale Surface Reconstruction,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.stat.rice.edu/~gallen/stat640.html,Statistical Learning,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://web.engr.illinois.edu/~taoxie/advice.htm,Resource collection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.mathworks.com/matlabcentral/fileexchange/31412-learning-based-digital-matting,Learning-based Matting,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.eng.tau.ac.il/~oron/ELK/ELK.html,Extended Lucas-Kanade Tracking,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cs.berkeley.edu/~jordan/courses/294-fall09/,Practical Machine Learning,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gcc.tu-darmstadt.de/home/proj/texrecon/,Large-Scale Texturing of 3D Reconstructions,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.dabi.temple.edu/~hbling/code/TGPR.htm,TGPR,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://inside.mines.edu/~whoff/courses/EENG512/,EENG 512 / CSCI 512 - Computer Vision,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://cvlab-dresden.de/courses/computer-vision-1/,Computer Vision 1,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.csie.ntu.edu.tw/~cjlin/libsvm/,LIBSVM -- A Library for Support Vector Machines,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Missing Subject Key Identifier (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Missing Subject Key Identifier (_ssl.c:1018)
http://www.vision.ee.ethz.ch/boostingTrackers/,Online-boosting Tracking,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://research.microsoft.com/en-us/downloads/389109f6-b4e8-404c-84bf-239f7cbf4e3d/,Structured Edge Detection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: TimeoutError('The read operation timed out') | reason: 
http://www.robots.ox.ac.uk/~vedaldi/code/siftpp.html,SIFT++,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://las-vegas.uni-osnabrueck.de/related-projects/lvr-kinfu/,LVR-KinFu: kinfu_remake based Large Scale KinectFusion with online reconstruction,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.shengfenghe.com/visual-tracking-via-locality-sensitive-histograms.html,Locality Sensitive Histograms,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://giga.cps.unizar.es/~elenag/projects/EGSR2012_intrinsic/,Intrinsic Images by Clustering,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://riemenschneider.hayko.at/vision/dataset/,Yet Another Computer Vision Index To Datasets,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://staffhome.ecm.uwa.edu.au/~00011811/Research/MatlabFns/index.html,Peter Kovesi's Matlab Functions for Computer Vision and Image Analysis,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://coewww.rutgers.edu/riul/research/code/EDISON/,Mean Shift Segmentation,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cs.indiana.edu/mit.research.how.to.html,How To Do Research In the MIT AI Lab,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 301: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nMoved Permanently'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently
http://webdav.is.mpg.de/pixel/fast_removal_of_camera_shake/,Fast Removal of Non-uniform Camera Shake,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.computervisiononline.com/datasets,ComputerVisionOnline Datasets,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.unc.edu/~jtighe/Papers/ECCV10/,Barcelona Dataset,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.asl.ethz.ch/people/lestefan/personal/BRISK,BRISK,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://personal.ee.surrey.ac.uk/Personal/Z.Kalal/tld.html,TLD: Tracking - Learning - Detection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.it-caesar.com/list-of-contemporary-semantic-segmentation-datasets/,List of Semantic Segmentation algorithms,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://cmp.felk.cvut.cz/mini/,MinimalSolvers,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.gcc.tu-darmstadt.de/home/proj/mve/,Multi-View Environment,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://ivrl.epfl.ch/research/superpixels,SLIC Super-pixel,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.adobe.com/technology/people/san-jose/brian-price.html,Geodesic Graph Cut,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: TimeoutError('timed out') | reason: 
http://webdiis.unizar.es/~dorian/index.php?p=32,DBoW2: binary bag-of-words loop detection system,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://code.google.com/p/ratslam/,RatSLAM,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.tamaraberg.com/teaching/Spring_15/,Language and Vision,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://people.mpi-inf.mpg.de/~kkim/supres/supres.htm,Sparse regression and natural image prior,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://web.engr.illinois.edu/~dhoiem/projects/software.html,Geometric Context,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://web.engr.illinois.edu/~dhoiem/software/counter.php?Down=varsha_spatialLayout.zip,Recovering Spatial Layout,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.mpi-inf.mpg.de/departments/computer-vision-and-multimodal-computing/research/image-and-video-segmentation/video-segmentation-with-superpixels/,Video Segmentation with Superpixels,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.cc.gatech.edu/cpl/projects/videosegmentation/,Efficient hierarchical graph-based video segmentation,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.cityu.edu.hk/~qiyang/publications/eccv-12/,Recursive Bilateral Filtering,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.mit.edu/~kimo/publications/intrinsic/,Ground-truth dataset and baseline evaluations for intrinsic image algorithms,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cic.uab.cat/Datasets/synthetic_intrinsic_image_dataset/,Intrinsic Image Evaluation on Synthetic Complex Scenes,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://pascallin.ecs.soton.ac.uk/challenges/VOC/,The PASCAL Visual Object Classes,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www-hagen.informatik.uni-kl.de/~bertram/talks/getpublished.pdf,How to Write a Great Paper,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.cs.dartmouth.edu/~wjarosz/writing.html,Common mistakes in technical writing,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.eecs.berkeley.edu/~junyanz/cat/cat_papers.html,Cat Paper Collection,https://github.com/jbhuang0604/awesome-computer-vision#readme,Computer Vision error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
