https://kandi.openweaver.com/explore/internet-of-things,Explore IoT Libraries,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kandi.openweaver.com'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kandi.openweaver.com'. (_ssl.c:1018)
http://www.amazon.com/Nitesh-Dhanjani/e/B001KDWB6W/ref=dp_byline_cont_book_1,Nitesh Dhanjani,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
http://www.z-wave.com/,Z-Wave,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www-ssl.intel.com/content/www/us/en/do-it-yourself/galileo-maker-quark-board.html,Intel Galileo,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.amazon.com/Robert-Faludi/e/B004JKWA3C/ref=dp_byline_cont_book_1,Robert Faludi,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
http://iamqa.in/2015/10/04/The-IoT-Testing-Atlas/,The IoT Testing Atlas,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://opcfoundation.org/,OPCUA,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.eluaproject.net/,eLua,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.w3.org/WoT/,W3C WoT,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://itnext.io/how-to-begin-with-the-amazon-timestream-in-5-simple-steps-19c129040d9c/,How to begin with the Amazon Timestream,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www-ssl.intel.com/content/dam/www/public/us/en/documents/white-papers/developing-solutions-for-iot.pdf,Developing solutions for the Internet of Things,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.devicepilot.com,DevicePilot,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.meet-iot.eu/Alliance-for-Internet-of-Things-Innovation-AIOTI.html,AIOTI,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.bluetooth.com/,Bluetooth Special Interest Group,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://coap.technology/,CoAP,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: TimeoutError('timed out') | reason: 
https://www.zephyrproject.org/,Zephyr Project,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
https://developer.android.com/things/,Android Things,https://github.com/HQarroum/awesome-iot#readme,Internet of Things error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nFound'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found
